,Callsign,Tag,Number,IATA,ICAO
329,Eastern Air Lines,EA / EAL,5 ,EA , EAL
330,Eastern Airways,T3 / EZE,28 ,T3 , EZE
331,Eastern Australia Airlines,SCR,2 ,,SCR
332,Eastern SkyJets,EE / ESJ,3 ,EE , ESJ
333,Easyfly,VE / EFY,7 ,VE , EFY
334,EasyJet,U2 / EZY,232 ,U2 , EZY
335,EasyJet Switzerland,DS / EZS,24 ,DS , EZS
336,ECAir,LC / PTI,9 ,LC , PTI
337,EcoJet,8J / ECO,4 ,8J , ECO
338,Edelweiss Air,WK / EDW,9 ,WK , EDW
339,EgyptAir,MS / MSR,56 ,MS , MSR
340,EgyptAir Cargo,MSX,3 ,,MSX
341,El Al,LY / ELY,42 ,LY , ELY
342,Elite Airways,7Q / MNU,11 ,7Q , MNU
343,Ellinair,EL / ELB,5 ,EL , ELB
344,Embraer,EMB,76 ,,EMB
345,Emirates,EK / UAE,259 ,EK , UAE
346,Empire Aviation,MJE,18 ,,MJE
347,Endeavor Air,9E / FLG,128 ,9E , FLG
348,Enerjet,EG / ENJ,1 ,EG , ENJ
349,Enter Air,E4 / ENT,19 ,E4 , ENT
350,Envoy Air,MQ / ENY,159 ,MQ , ENY
351,Eritrean Airlines,B8 / ERT,2 ,B8 , ERT
352,Estafeta Carga Aerea,E7 / ESF,6 ,E7 , ESF
353,Estelar,ETR,3 ,,ETR
354,Ethiopian Airlines,ET / ETH,74 ,ET , ETH
355,Etihad Airways,EY / ETD,126 ,EY , ETD
356,Etihad Regional,F7 / DWT,10 ,F7 , DWT
357,Euro-Asia Air,5B / EAK,1 ,5B , EAK
358,EuroAtlantic Airways,YU / MMZ,9 ,YU , MMZ
359,European Coastal Airlines,WL / ECB,5 ,WL , ECB
360,Eurowings,EW / EWG,31 ,EW , EWG
361,Eurowings Europe,E2 / EWE,1 ,E2 , EWE
362,EVA Air,BR / EVA,68 ,BR , EVA
363,Evelop Airlines,E9 / EVE,4 ,E9 , EVE
364,Everts Air Alaska,5V / VTS,6 ,5V , VTS
365,Execuflight,EFT,1 ,,EFT
366,Executive Flight Services,XSR,35 ,,XSR
367,Express Air,XN / XAR,4 ,XN , XAR
368,ExpressJet,EV / ASQ,304 ,EV , ASQ
369,Eznis Airways,EF / EZA,3 ,EF , EZA
370,Far Eastern Air Transport,FE / FEA,7 ,FE , FEA
371,Fastjet,FN / FTZ,4 ,FN , FTZ
372,FedEx,FX / FDX,646 ,FX , FDX
373,Felix Airways,FO / FXX,2 ,FO , FXX
374,Fiji Airways,FJ / FJI,11 ,FJ , FJI
375,Finnair,AY / FIN,60 ,AY , FIN
376,Firefly,FY / FFM,20 ,FY , FFM
377,First Air,7F / FAB,20 ,7F , FAB
378,First Nation Airways,FRN,2 ,,FRN
379,FitsAir,8D / EXV,1 ,8D , EXV
380,Flair Airlines,F8 / FLE,8 ,F8 , FLE
381,Flex Flight,W2 / FXT,4 ,W2 , FXT
382,Flexjet,LXJ,113 ,,LXJ
383,Flight Calibration Services,FCK,2 ,,FCK
384,Flight Calibration Services,VOR,2 ,,VOR
385,Flight options,OPT,73 ,,OPT
386,Fltplan,DCM,10 ,,DCM
387,Fly AllWays,8W / EDR,1 ,8W , EDR
388,Fly Baghdad,IF / FBA,1 ,IF , FBA
389,Fly Jamaica,OJ / FJM,2 ,OJ , FJM
390,Fly One,5F / FIA,1 ,5F , FIA
391,Fly540,5H / FFV,2 ,5H , FFV
392,Flybe,BE / BEE,92 ,BE , BEE
393,flyCAA,BU / FPY,3 ,BU , FPY
394,FlyDubai,FZ / FDB,53 ,FZ , FDB
395,FlyEgypt,FT / FEG,2 ,FT , FEG
396,FlyMe,VP / VQI,3 ,VP , VQI
397,Flynas,XY / KNE,31 ,XY , KNE
398,FMI Air,ND / FMI,1 ,ND , FMI
399,Freebird Airlines,FH / FHY,8 ,FH , FHY
400,Freight Runners Express,FRG,2 ,,FRG
401,French Blue,BF / FBU,1 ,BF , FBU
